,brand,website,,llogo,llogo,cate,,,,,,,,,,,,,,,,,cate_1,cate_2,cate_3,cate_4,cate_5,cate_6
41,JioCinema,https://www.jiocinema.com,,https://upload.wikimedia.org/wikipedia/commons/1/14/Jiocinema.png,https://upload.wikimedia.org/wikipedia/commons/1/14/Jiocinema.png,"Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps",,,,,,,,,,,,,,,,,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,
42,Kanopy,https://www.kanopy.com,,https://www.google.com/s2/favicons?domain=www.kanopy.com&sz=128,https://www.google.com/s2/favicons?domain=www.kanopy.com&sz=128,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps",,,,,,,,,,,,,,,,,Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,
43,MappleTV,https://mapple.mov/,,https://www.google.com/s2/favicons?domain=mapple.mov/&sz=128,https://www.google.com/s2/favicons?domain=mapple.mov/&sz=128,"Free Movies Streaming Sites,Free Streaming Apps",,,,,,,,,,,,,,,,,Free Movies Streaming Sites,Free Streaming Apps,,,,
44,Max (HBO Max),https://www.max.com,,https://www.google.com/s2/favicons?domain=www.max.com&sz=128,https://www.google.com/s2/favicons?domain=www.max.com&sz=128,"Best Movie Streaming Sites,Anime Streaming Sites",,,,,,,,,,,,,,,,,Best Movie Streaming Sites,Anime Streaming Sites,,,,
45,MGM+,https://www.mgmplus.com,,https://www.google.com/s2/favicons?domain=www.mgmplus.com&sz=128,https://www.google.com/s2/favicons?domain=www.mgmplus.com&sz=128,Best Movie Streaming Sites,,,,,,,,,,,,,,,,,Best Movie Streaming Sites,,,,,
46,Milplus,https://lp.milplus.jp/,,https://www.google.com/s2/favicons?domain=lp.milplus.jp/&sz=128,https://www.google.com/s2/favicons?domain=lp.milplus.jp/&sz=128,Anime Streaming Sites,,,,,,,,,,,,,,,,,Anime Streaming Sites,,,,,
47,MX Player,https://www.mxplayer.in,,https://www.google.com/s2/favicons?domain=www.mxplayer.in&sz=128,https://www.google.com/s2/favicons?domain=www.mxplayer.in&sz=128,"Free TV Shows Streaming Sites,Free Streaming Apps",,,,,,,,,,,,,,,,,Free TV Shows Streaming Sites,Free Streaming Apps,,,,
48,MyVideo,https://www.myvideo.net.tw,,https://www.google.com/s2/favicons?domain=www.myvideo.net.tw&sz=128,https://www.google.com/s2/favicons?domain=www.myvideo.net.tw&sz=128,"Anime Streaming Sites,Best Movie Streaming Sites,Free Streaming Apps",,,,,,,,,,,,,,,,,Anime Streaming Sites,Best Movie Streaming Sites,Free Streaming Apps,,,
49,Netflix,https://www.netflix.com,,https://www.google.com/s2/favicons?domain=www.netflix.com&sz=128,https://www.google.com/s2/favicons?domain=www.netflix.com&sz=128,"Best Movie Streaming Sites,Anime Streaming Sites",,,,,,,,,,,,,,,,,Best Movie Streaming Sites,Anime Streaming Sites,,,,
50,Nico Nico Channel,https://ch.nicovideo.jp,,https://www.google.com/s2/favicons?domain=ch.nicovideo.jp&sz=128,https://www.google.com/s2/favicons?domain=ch.nicovideo.jp&sz=128,Anime Streaming Sites,,,,,,,,,,,,,,,,,Anime Streaming Sites,,,,,
51,Now TV,https://www.nowtv.com,,https://www.google.com/s2/favicons?domain=www.nowtv.com&sz=128,https://www.google.com/s2/favicons?domain=www.nowtv.com&sz=128,"Live TV Streaming Sites,Best Movie Streaming Sites",,,,,,,,,,,,,,,,,Live TV Streaming Sites,Best Movie Streaming Sites,,,,
52,Paramount+,https://www.paramountplus.com,,https://www.google.com/s2/favicons?domain=www.paramountplus.com&sz=128,https://www.google.com/s2/favicons?domain=www.paramountplus.com&sz=128,"Live TV Streaming Sites,Best Movie Streaming Sites",,,,,,,,,,,,,,,,,Live TV Streaming Sites,Best Movie Streaming Sites,,,,
53,Peacock,https://www.peacocktv.com,,https://www.google.com/s2/favicons?domain=www.peacocktv.com&sz=128,https://www.google.com/s2/favicons?domain=www.peacocktv.com&sz=128,"Live TV Streaming Sites,Best Movie Streaming Sites",,,,,,,,,,,,,,,,,Live TV Streaming Sites,Best Movie Streaming Sites,,,,
