id,brand,website,cate_1,cate_2,cate_3,cate_4,cate_5,cate_6,merge
134,RTVE Play,https://www.rtve.es/play,Free Live TV Streaming Sites,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites,,"Free Live TV Streaming Sites,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites"
135,CBC Gem,https://gem.cbc.ca,Free Live TV Streaming Sites,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites,,"Free Live TV Streaming Sites,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites"
136,SBS On Demand,https://www.sbs.com.au/ondemand,Free Live TV Streaming Sites,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites,,"Free Live TV Streaming Sites,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites"
137,TVNZ+,https://www.tvnz.co.nz,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites,,,"Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites"
138,ITVX,https://www.itv.com,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites,,,"Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites"
139,UKTV Play,https://uktvplay.co.uk,Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites,,,"Free Movies Streaming Sites,Free Streaming Apps,Free TV Shows Streaming Sites,Best Movie Streaming Sites"
140,ABC.com,https://abc.com,Free TV Shows Streaming Sites,Free Streaming Apps,,,,,"Free TV Shows Streaming Sites,Free Streaming Apps"
141,NBC.com,https://www.nbc.com,Free TV Shows Streaming Sites,Free Streaming Apps,,,,,"Free TV Shows Streaming Sites,Free Streaming Apps"
142,FOX,https://www.fox.com,Free TV Shows Streaming Sites,Free Streaming Apps,,,,,"Free TV Shows Streaming Sites,Free Streaming Apps"
143,Freeform,https://www.freeform.com,Free Streaming Apps,Free TV Shows Streaming Sites,,,,,"Free Streaming Apps,Free TV Shows Streaming Sites"
144,popcorntv,https://popcorntv.it,Free TV Shows Streaming Sites,,,,,,Free TV Shows Streaming Sites
145,GlobalTV Canada,https://www.globaltv.com,Free TV Shows Streaming Sites,,,,,,Free TV Shows Streaming Sites
146,CityTV,https://www.citytv.com,Free Movies Streaming Sites,Anime Streaming Sites,,,,,"Free Movies Streaming Sites,Anime Streaming Sites"
147,NOS TV,https://nostv.pt/bemvindo,Free Movies Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,,"Free Movies Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
148,Videoland (Netherlands),https://www.videoland.com,Free TV Shows Streaming Sites,Free Streaming Apps,,,,,"Free TV Shows Streaming Sites,Free Streaming Apps"
149,GoPlay,https://www.goplay.be,Free TV Shows Streaming Sites,Free Streaming Apps,,,,,"Free TV Shows Streaming Sites,Free Streaming Apps"
150,TV2 Play,https://play.tv2.no,Best Movie Streaming Sites,Free Streaming Apps,,,,,"Best Movie Streaming Sites,Free Streaming Apps"
151,Globe Player,https://globeplayer.tv,Best Movie Streaming Sites,Free Streaming Apps,,,,,"Best Movie Streaming Sites,Free Streaming Apps"
152,VideoElephant,https://www.videoelephant.tv,Free Movies Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,,"Free Movies Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
153,allblk,https://allblk.tv/,Free Movies Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,,,"Free Movies Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps"
154,tv4 play,https://www.tv4play.se/,Best Movie Streaming Sites,Free Streaming Apps,,,,,"Best Movie Streaming Sites,Free Streaming Apps"
155,France TV,https://www.france.tv,Free TV Shows Streaming Sites,Free Streaming Apps,,,,,"Free TV Shows Streaming Sites,Free Streaming Apps"
